,desc,lat,lon,timestamp,water_level,filtered_water_level,ID
0,Fort Pulaski (A) Water Level Monitor,32.03455,-80.90249399999999,2019-06-01 00:00:35.667000-04:00,-2.9135279999999995,-2.9135279999999995,0.0
1,Fort Pulaski (A) Water Level Monitor,32.03455,-80.90249399999999,2019-06-01 00:01:41.697000-04:00,-2.9397759999999997,-2.9397759999999997,0.0
2,Fort Pulaski (A) Water Level Monitor,32.03455,-80.90249399999999,2019-06-01 00:02:47.749000-04:00,-2.9430570000000014,-2.9430570000000014,0.0
3,Fort Pulaski (A) Water Level Monitor,32.03455,-80.90249399999999,2019-06-01 00:03:53.836000-04:00,-2.9922720000000003,-2.9922720000000003,0.0
4,Fort Pulaski (A) Water Level Monitor,32.03455,-80.90249399999999,2019-06-01 00:04:59.940000-04:00,-3.0185199999999988,-3.0185199999999988,0.0
